name	group	strand	number_of_isoforms	isoforms	number_of_isoforms_with_annotated_domain	isoforms_with_annotated_domain	longest_isoform_with_annotated_domain	number_of_exon_for_longest_isoform_with_annotated_domain	domain_position_on_longest_isoform_with_annotated_domain	domain_position_on_longest_isoform_with_annotated_domain_percentage	DIFF	EXPR	number_of_assays
CSNK1D	CK1	-	6	"uc002keh.3;uc002kei.3;uc002kej.3;uc010dil.3;uc010dim.1;uc010wvj.2"	5	"uc002keh.3;uc002kei.3;uc002kej.3;uc010dim.1;uc010wvj.2"	uc002kei.3	10	exons-1-8	start-0%-end-78%	no	yes	1
CSNK1E	CK1	-	3	"uc003avj.3;uc003avk.3;uc003avm.2"	3	"uc003avj.3;uc003avk.3;uc003avm.2"	uc003avm.2	15	exons-6-13	start-36%-end-86%	no	yes	1
CSNK1G1	CK1	-	6	"uc002ane.3;uc002anf.3;uc002ang.1;uc002anh.1;uc002anj.3;uc010uip.1"	4	"uc002anf.3;uc002ang.1;uc002anh.1;uc002anj.3"	"uc002anh.1;uc002anj.3"	13	exons-2-12	start-8%-end-92%	no	yes	1
CSNK1G2	CK1	+	2	"uc002lul.4;uc010dsu.3"	2	"uc002lul.4;uc010dsu.3"	"uc002lul.4;uc010dsu.3"	12	exons-2-12	start-9%-end-100%	no	yes	1
CSNK1G3	CK1	+	6	"uc003ktn.4;uc010jda.4;uc011cwr.3;uc011cws.3;uc031skv.1;uc031skw.1"	6	"uc003ktn.4;uc010jda.4;uc011cwr.3;uc011cws.3;uc031skv.1;uc031skw.1"	"uc003ktn.4;uc031skv.1"	13	exons-2-11	start-8%-end-83%	no	yes	1
CSNK2A1	OTHER	-	3	"uc002wdw.1;uc002wdx.1;uc002wdy.1"	3	"uc002wdw.1;uc002wdx.1;uc002wdy.1"	uc002wdw.1	14	exons-3-14	start-15%-end-100%	no	yes	1
CSNK2A2	OTHER	-	2	"uc002enc.3;uc031qwj.1"	1	uc002enc.3	uc002enc.3	12	exons-1-11	start-0%-end-91%	yes	yes	2
DAPK1	CAMK	+	7	"uc004apc.3;uc004apd.3;uc004ape.3;uc004apf.1;uc004apg.2;uc011ltg.2;uc011lth.2"	4	"uc004apc.3;uc004apd.3;uc004ape.3;uc011ltg.2"	"uc004apc.3;uc004apd.3"	26	exons-2-21	start-4%-end-80%	yes	yes	3
DAPK2	CAMK	-	3	"uc002amr.3;uc010bgu.1;uc010uim.2"	2	"uc002amr.3;uc010bgu.1"	uc002amr.3	12	exons-2-12	start-9%-end-100%	no	yes	1
DAPK3	CAMK	-	3	"uc002lzb.1;uc002lzc.1;uc002lzd.1"	2	"uc002lzc.1;uc002lzd.1"	uc002lzd.1	9	exons-2-9	start-12%-end-100%	no	yes	1
DCLK1	CAMK	-	5	"uc001uve.4;uc001uvf.3;uc001uvh.4;uc010abk.3;uc010teh.2"	4	"uc001uve.4;uc001uvf.3;uc010abk.3;uc010teh.2"	uc001uvf.3	18	exons-7-18	start-35%-end-100%	yes	yes	3
DCLK2	CAMK	+	3	"uc003ilm.4;uc003ilo.4;uc003ilp.4"	2	"uc003ilm.4;uc003ilo.4"	uc003ilo.4	17	exons-7-17	start-38%-end-100%	yes	yes	2
DCLK3	CAMK	-	1	uc003cgi.2	1	uc003cgi.2	uc003cgi.2	5	exons-2-5	start-25%-end-100%	yes	yes	2
DDR1	RTK	+	13	"uc003nrq.3;uc003nrr.3;uc003nrs.3;uc003nrt.3;uc003nru.3;uc003nrv.3;uc003nrw.1;uc003nrx.2;uc003nry.2;uc010jse.3;uc011dms.2;uc011dmt.2;uc011dmu.1"	10	"uc003nrq.3;uc003nrr.3;uc003nrs.3;uc003nrt.3;uc003nru.3;uc003nrv.3;uc003nrw.1;uc003nrx.2;uc010jse.3;uc011dms.2"	"uc003nrq.3;uc003nrr.3"	19	exons-14-19	start-72%-end-100%	yes	yes	2
DDR2	RTK	+	2	"uc001gcf.3;uc001gcg.3"	2	"uc001gcf.3;uc001gcg.3"	uc001gcf.3	19	exons-14-19	start-72%-end-100%	yes	yes	2
DMPK	AGC	-	10	"uc002pdd.1;uc002pde.1;uc002pdf.1;uc002pdg.1;uc002pdh.1;uc002pdi.1;uc010xxs.1;uc010xxt.1;uc010xxu.1;uc021uwb.1"	9	"uc002pdd.1;uc002pde.1;uc002pdf.1;uc002pdg.1;uc002pdh.1;uc002pdi.1;uc010xxs.1;uc010xxt.1;uc010xxu.1"	uc002pdi.1	16	exons-1-11	start-0%-end-67%	yes	yes	2
DSTYK	OTHER	-	3	"uc001hbw.3;uc001hbx.3;uc001hby.1"	3	"uc001hbw.3;uc001hbx.3;uc001hby.1"	uc001hbw.3	13	exons-7-13	start-50%-end-100%	yes	yes	2
DYRK1A	CMGC	+	9	"uc002ywg.1;uc002ywh.1;uc002ywi.3;uc002ywj.3;uc002ywk.3;uc002ywm.3;uc010gno.1;uc011aei.2;uc031rvi.1"	6	"uc002ywh.1;uc002ywi.3;uc002ywj.3;uc002ywk.3;uc002ywm.3;uc011aei.2"	uc002ywi.3	13	exons-6-12	start-42%-end-92%	yes	yes	2
DYRK1B	CMGC	-	4	"uc002omi.3;uc002omj.3;uc002omk.3;uc002oml.3"	4	"uc002omi.3;uc002omj.3;uc002omk.3;uc002oml.3"	uc002omi.3	12	exons-4-12	start-27%-end-100%	yes	yes	2
DYRK2	CMGC	+	3	"uc001str.4;uc001sts.4;uc021raa.1"	3	"uc001str.4;uc001sts.4;uc021raa.1"	uc001str.4	3	exons-3-3	start-100%-end-100%	no	yes	1
DYRK3	CMGC	+	3	"uc001hei.3;uc001hej.3;uc001hek.3"	2	"uc001hei.3;uc001hej.3"	uc001hei.3	4	exons-4-4	start-100%-end-100%	no	yes	1
DYRK4	CMGC	+	7	"uc001qmx.3;uc001qmy.2;uc001qmz.2;uc001qna.2;uc009zeh.1;uc010ser.2;uc021qtq.1"	7	"uc001qmx.3;uc001qmy.2;uc001qmz.2;uc001qna.2;uc009zeh.1;uc010ser.2;uc021qtq.1"	uc009zeh.1	14	exons-6-14	start-38%-end-100%	no	yes	1
EEF2K	ATYPICAL	+	2	"uc002dkh.3;uc002dki.3"	1	uc002dki.3	uc002dki.3	18	exons-3-9	start-12%-end-47%	yes	yes	2
EGFR	RTK	+	13	"uc003tqh.3;uc003tqi.3;uc003tqj.3;uc003tqk.3;uc003tql.1;uc003tqn.3;uc010kzg.2;uc011kco.2;uc011kcp.1;uc011kcq.1;uc022adm.1;uc022adn.1;uc022ado.1"	6	"uc003tqk.3;uc010kzg.2;uc011kco.2;uc022adm.1;uc022adn.1;uc022ado.1"	"uc003tqk.3;uc011kco.2"	28	exons-17-27	start-59%-end-96%	yes	yes	2
EIF2AK1	OTHER	-	4	"uc003spp.3;uc003spq.3;uc003spr.1;uc011jwm.1"	3	"uc003spp.3;uc003spq.3;uc011jwm.1"	"uc003spp.3;uc003spq.3;uc011jwm.1"	15	exons-3-15	start-14%-end-100%	yes	yes	2
EIF2AK2	OTHER	-	5	"uc010fab.2;uc010fac.3;uc010fad.2;uc010yng.2;uc010ynh.2"	5	"uc010fab.2;uc010fac.3;uc010fad.2;uc010yng.2;uc010ynh.2"	"uc010fac.3;uc010ynh.2"	17	exons-8-17	start-44%-end-100%	yes	yes	2
EIF2AK3	OTHER	-	1	uc002stc.4	1	uc002stc.4	uc002stc.4	17	exons-10-17	start-56%-end-100%	yes	yes	2
EIF2AK4	OTHER	+	6	"uc001zkl.3;uc001zkm.1;uc001zkn.1;uc001zko.1;uc010bbj.1;uc010bbk.1"	4	"uc001zkl.3;uc001zkm.1;uc001zkn.1;uc010bbj.1"	uc001zkm.1	39	exons-8-23	start-18%-end-58%	yes	yes	3
EPHA1	RTK	-	1	uc003wcz.3	1	uc003wcz.3	uc003wcz.3	18	exons-10-17	start-53%-end-94%	yes	yes	2
EPHA10	RTK	-	6	"uc001cbt.3;uc001cbu.3;uc001cbv.2;uc001cbw.4;uc009vvh.2;uc009vvi.3"	1	uc009vvi.3	uc009vvi.3	17	exons-9-16	start-50%-end-94%	yes	yes	2
EPHA2	RTK	-	2	"uc001aya.2;uc010oca.2"	1	uc001aya.2	uc001aya.2	17	exons-9-17	start-50%-end-100%	yes	yes	2
EPHA3	RTK	+	3	"uc003dqx.1;uc003dqy.3;uc021xbf.1"	2	"uc003dqy.3;uc021xbf.1"	"uc003dqy.3;uc021xbf.1"	17	exons-9-16	start-50%-end-94%	yes	yes	2
EPHA4	RTK	-	3	"uc002vmq.3;uc002vmr.2;uc010zlm.1"	3	"uc002vmq.3;uc002vmr.2;uc010zlm.1"	uc002vmq.3	18	exons-9-16	start-47%-end-88%	yes	yes	2
EPHA5	RTK	-	6	"uc003hcx.3;uc003hcy.3;uc003hcz.3;uc003hda.2;uc011cah.2;uc011cai.2"	6	"uc003hcx.3;uc003hcy.3;uc003hcz.3;uc003hda.2;uc011cah.2;uc011cai.2"	"uc003hcx.3;uc003hcy.3;uc011cah.2"	18	exons-10-17	start-53%-end-94%	yes	yes	2
EPHA6	RTK	+	9	"uc003drp.1;uc003drr.5;uc003drs.5;uc003drt.4;uc010how.1;uc010hox.2;uc011bgo.2;uc011bgp.2;uc031sar.1"	5	"uc003drr.5;uc003drs.5;uc003drt.4;uc010how.1;uc011bgp.2"	uc010how.1	18	exons-9-18	start-47%-end-100%	yes	yes	3
EPHA7	RTK	-	4	"uc003poe.3;uc003pof.3;uc003pog.4;uc011eac.2"	3	"uc003poe.3;uc003pof.3;uc011eac.2"	"uc003poe.3;uc003pof.3;uc011eac.2"	17	exons-9-16	start-50%-end-94%	yes	yes	2
EPHA8	RTK	+	2	"uc001bfw.3;uc001bfx.1"	1	uc001bfx.1	uc001bfx.1	17	exons-10-16	start-56%-end-94%	yes	yes	2
EPHB1	RTK	+	4	"uc003eqt.3;uc003equ.3;uc010htz.2;uc011bly.2"	2	"uc003eqt.3;uc003equ.3"	uc003eqt.3	16	exons-9-16	start-53%-end-100%	yes	yes	2
EPHB2	RTK	+	4	"uc001bge.3;uc001bgf.3;uc009vqj.1;uc010odu.2"	4	"uc001bge.3;uc001bgf.3;uc009vqj.1;uc010odu.2"	uc009vqj.1	17	exons-9-15	start-50%-end-88%	yes	yes	2
EPHB3	RTK	+	1	uc003foz.3	1	uc003foz.3	uc003foz.3	16	exons-9-15	start-53%-end-93%	yes	yes	2
EPHB4	RTK	-	6	"uc003uwm.1;uc003uwn.1;uc010lhj.1;uc011kkf.1;uc011kkg.1;uc011kkh.1"	3	"uc003uwm.1;uc003uwn.1;uc010lhj.1"	uc003uwn.1	17	exons-10-16	start-56%-end-94%	yes	yes	2
EPHB6	RTK	+	7	"uc003wbs.3;uc003wbt.3;uc003wbu.3;uc003wbv.3;uc010lot.1;uc011kst.2;uc011ksu.2"	6	"uc003wbs.3;uc003wbt.3;uc003wbu.3;uc003wbv.3;uc011kst.2;uc011ksu.2"	"uc011kst.2;uc011ksu.2"	20	exons-13-19	start-63%-end-95%	no	yes	1
ERBB2	RTK	+	9	"uc002hsl.3;uc002hsm.3;uc002hsn.1;uc002hso.3;uc002hsp.3;uc010cwa.3;uc010cwb.3;uc010wek.2;uc031raa.1"	6	"uc002hsm.3;uc002hso.3;uc002hsp.3;uc010cwa.3;uc010cwb.3;uc010wek.2"	uc010cwa.3	31	exons-21-30	start-67%-end-97%	yes	yes	2
ERBB3	RTK	+	10	"uc001sjg.3;uc001sjh.3;uc001sji.3;uc001sjj.1;uc001sjk.3;uc001sjl.3;uc009zoj.3;uc009zok.3;uc010sqb.2;uc010sqc.2"	6	"uc001sjh.3;uc001sjk.3;uc001sjl.3;uc009zok.3;uc010sqb.2;uc010sqc.2"	uc010sqc.2	29	exons-18-27	start-61%-end-93%	yes	yes	3
ERBB4	RTK	-	5	"uc002veg.1;uc002veh.1;uc010fut.1;uc010zji.1;uc010zjj.1"	5	"uc002veg.1;uc002veh.1;uc010fut.1;uc010zji.1;uc010zjj.1"	"uc002veg.1;uc010zji.1"	28	exons-17-27	start-59%-end-96%	yes	yes	2
ERN1	OTHER	-	1	uc002jdz.2	1	uc002jdz.2	uc002jdz.2	22	exons-13-22	start-57%-end-100%	yes	yes	2
ERN2	OTHER	-	3	"uc002dma.4;uc010bxp.3;uc010bxq.1"	2	"uc002dma.4;uc010bxp.3"	uc002dma.4	22	exons-13-22	start-57%-end-100%	yes	yes	2
FASTK	ATYPICAL	-	5	"uc003wiw.1;uc003wix.2;uc003wiy.2;uc003wiz.2;uc003wja.1"	0	n.a.	n.a.	n.a.	n.a.	n.a.	no	yes	1
FER	NRTK	+	6	"uc003kop.1;uc003koq.2;uc011cve.1;uc011cvf.1;uc011cvg.1;uc031skp.1"	3	"uc003kop.1;uc011cvg.1;uc031skp.1"	uc003kop.1	20	exons-13-20	start-63%-end-100%	no	yes	1
FES	NRTK	+	6	"uc002bpv.3;uc002bpx.3;uc002bpy.3;uc010bny.3;uc010uqj.2;uc010uqk.2"	6	"uc002bpv.3;uc002bpx.3;uc002bpy.3;uc010bny.3;uc010uqj.2;uc010uqk.2"	"uc002bpv.3;uc010uqk.2"	19	exons-12-19	start-61%-end-100%	yes	yes	2
FGFR1	RTK	-	17	"uc003xlp.3;uc003xlu.3;uc003xlv.3;uc003xlw.1;uc010lwf.3;uc010lwk.3;uc011lbr.2;uc011lbs.2;uc011lbt.1;uc011lbu.2;uc011lbv.2;uc011lbw.2;uc011lbx.1;uc022aua.1;uc022aub.1;uc022auc.1;uc022aud.1"	9	"uc003xlp.3;uc010lwk.3;uc011lbu.2;uc011lbv.2;uc011lbw.2;uc022aua.1;uc022aub.1;uc022auc.1;uc022aud.1"	"uc010lwk.3;uc011lbu.2"	19	exons-11-19	start-56%-end-100%	yes	yes	2
FGFR2	RTK	-	19	"uc001lfg.4;uc001lfk.1;uc001lfn.5;uc001lfo.1;uc010qtl.2;uc010qtm.2;uc010qtn.2;uc010qto.2;uc010qtp.2;uc010qtq.2;uc021pzv.1;uc021pzw.1;uc021pzx.1;uc021pzy.1;uc021pzz.1;uc021qaa.1;uc021qab.1;uc021qac.1;uc031pxk.1"	13	"uc001lfg.4;uc001lfn.5;uc010qtl.2;uc010qtm.2;uc021pzv.1;uc021pzw.1;uc021pzx.1;uc021pzy.1;uc021pzz.1;uc021qaa.1;uc021qab.1;uc021qac.1;uc031pxk.1"	"uc021pzy.1;uc021pzz.1"	18	exons-10-18	start-53%-end-100%	yes	yes	2
FGFR3	RTK	+	7	"uc003gdq.3;uc003gdr.3;uc003gds.3;uc003gdt.1;uc003gdu.2;uc010icb.1;uc031sdd.1"	4	"uc003gdq.3;uc003gdr.3;uc003gds.3;uc003gdu.2"	"uc003gdr.3;uc003gdu.2"	18	exons-10-18	start-53%-end-100%	yes	yes	2
FGFR4	RTK	+	7	"uc003mfl.3;uc003mfm.3;uc003mfn.1;uc003mfo.3;uc011dfu.2;uc011dfv.1;uc011dfw.1"	4	"uc003mfl.3;uc003mfm.3;uc003mfo.3;uc011dfu.2"	"uc003mfl.3;uc003mfm.3;uc011dfu.2"	18	exons-10-18	start-53%-end-100%	yes	yes	2
FGR	NRTK	-	6	"uc001boi.3;uc001boj.3;uc001bok.3;uc001bol.3;uc001bom.3;uc021ojx.1"	5	"uc001boi.3;uc001boj.3;uc001bok.3;uc001bol.3;uc001bom.3"	"uc001bok.3;uc001bol.3;uc001bom.3"	13	exons-7-13	start-50%-end-100%	yes	yes	3
FLT1	RTK	-	11	"uc001usa.3;uc001usb.3;uc001usc.3;uc001usd.3;uc010aap.2;uc010aaq.2;uc010aar.1;uc010aas.1;uc010aat.1;uc010tdp.1;uc031qkv.1"	4	"uc001usa.3;uc001usb.3;uc010aap.2;uc010aaq.2"	uc001usb.3	30	exons-16-28	start-52%-end-93%	yes	yes	3
FLT3	RTK	-	3	"uc001urw.3;uc010aao.3;uc010tdn.2"	2	"uc001urw.3;uc010tdn.2"	uc001urw.3	24	exons-14-24	start-57%-end-100%	yes	yes	2
FLT4	RTK	-	6	"uc003mlz.4;uc003mma.4;uc003mmb.1;uc011dgy.2;uc011dgz.1;uc011dha.1"	3	"uc003mlz.4;uc003mma.4;uc003mmb.1"	"uc003mlz.4;uc003mma.4"	30	exons-17-28	start-55%-end-93%	yes	yes	2
FRK	NRTK	-	1	uc003pwi.1	1	uc003pwi.1	uc003pwi.1	8	exons-3-8	start-29%-end-100%	yes	yes	2
FYN	NRTK	-	5	"uc003pvh.3;uc003pvi.3;uc003pvj.3;uc003pvk.3;uc010kdy.1"	5	"uc003pvh.3;uc003pvi.3;uc003pvj.3;uc003pvk.3;uc010kdy.1"	uc003pvk.3	14	exons-8-14	start-54%-end-100%	yes	yes	3
GAK	OTHER	-	6	"uc003gbl.4;uc003gbm.4;uc003gbn.4;uc003gbo.2;uc010ibj.3;uc010ibk.1"	4	"uc003gbl.4;uc003gbm.4;uc003gbn.4;uc010ibk.1"	uc003gbm.4	28	exons-1-11	start-0%-end-37%	yes	yes	2
GRK1	AGC	+	1	uc010tkf.2	1	uc010tkf.2	uc010tkf.2	7	exons-1-7	start-0%-end-100%	no	yes	1
GRK4	AGC	+	5	"uc003ggm.3;uc003ggn.1;uc003ggo.1;uc003ggp.1;uc003ggq.1"	4	"uc003ggn.1;uc003ggo.1;uc003ggp.1;uc003ggq.1"	uc003ggn.1	16	exons-6-15	start-33%-end-93%	yes	yes	2
GRK5	AGC	+	3	"uc001led.3;uc009xzh.3;uc010qta.1"	3	"uc001led.3;uc009xzh.3;uc010qta.1"	"uc001led.3;uc009xzh.3"	16	exons-6-15	start-33%-end-93%	yes	yes	2
GRK6	AGC	+	4	"uc003mgq.2;uc003mgs.1;uc021yit.1;uc021yiu.1"	4	"uc003mgq.2;uc003mgs.1;uc021yit.1;uc021yiu.1"	"uc003mgq.2;uc021yit.1;uc021yiu.1"	16	exons-6-15	start-33%-end-93%	yes	yes	2
GRK7	AGC	+	1	uc011bnd.2	1	uc011bnd.2	uc011bnd.2	4	exons-1-4	start-0%-end-100%	no	yes	1
GSG2	OTHER	+	1	uc002fwp.3	1	uc002fwp.3	uc002fwp.3	1	exons-1-1	start-0%-end-100%	no	yes	1
GSK3A	CMGC	-	2	"uc002ota.1;uc002otb.1"	2	"uc002ota.1;uc002otb.1"	uc002otb.1	11	exons-1-11	start-0%-end-100%	no	yes	1
GSK3B	CMGC	-	3	"uc003edm.3;uc003edn.3;uc003edo.3"	2	"uc003edn.3;uc003edo.3"	uc003edn.3	12	exons-1-12	start-0%-end-100%	no	yes	1
GUCY2C	RGC	-	2	"uc001rcd.3;uc009zhz.2"	1	uc001rcd.3	uc001rcd.3	27	exons-12-22	start-42%-end-81%	yes	yes	2
GUCY2D	RGC	+	1	uc002gjt.2	1	uc002gjt.2	uc002gjt.2	20	exons-7-14	start-32%-end-68%	yes	yes	2
GUCY2F	RGC	-	3	"uc004eod.4;uc011msq.2;uc022cch.1"	2	"uc004eod.4;uc022cch.1"	uc004eod.4	20	exons-7-14	start-32%-end-68%	yes	yes	2
HCK	NRTK	+	4	"uc002wxh.3;uc002wxi.3;uc010gdy.3;uc021wbv.1"	4	"uc002wxh.3;uc002wxi.3;uc010gdy.3;uc021wbv.1"	"uc010gdy.3;uc021wbv.1"	14	exons-8-14	start-54%-end-100%	yes	yes	2
HIPK1	CMGC	+	6	"uc001eel.3;uc001eem.3;uc001een.3;uc001eeo.3;uc001eep.3;uc001eeq.3"	5	"uc001eel.3;uc001eem.3;uc001een.3;uc001eeo.3;uc001eep.3"	"uc001eem.3;uc001een.3"	16	exons-2-8	start-7%-end-47%	yes	yes	2
HIPK2	CMGC	-	2	"uc003vvd.4;uc003vvf.4"	2	"uc003vvd.4;uc003vvf.4"	"uc003vvd.4;uc003vvf.4"	15	exons-2-8	start-7%-end-50%	yes	yes	2
HIPK3	CMGC	+	5	"uc001mul.2;uc001mum.2;uc009yjv.2;uc009yjw.1;uc031pzm.1"	4	"uc001mul.2;uc001mum.2;uc009yjv.2;uc031pzm.1"	uc001mul.2	17	exons-2-11	start-6%-end-62%	yes	yes	2
HIPK4	CMGC	-	1	uc002onp.3	1	uc002onp.3	uc002onp.3	4	exons-1-3	start-0%-end-67%	yes	yes	2
HUNK	CAMK	+	1	uc002yph.3	1	uc002yph.3	uc002yph.3	11	exons-1-11	start-0%-end-100%	no	yes	1
ICK	CMGC	-	3	"uc003pbh.2;uc003pbi.2;uc003pbj.3"	3	"uc003pbh.2;uc003pbi.2;uc003pbj.3"	uc003pbh.2	15	exons-3-10	start-14%-end-64%	yes	yes	3
IGF1R	RTK	+	5	"uc002bul.3;uc010bon.3;uc010boo.1;uc010urq.2;uc010urr.1"	2	"uc002bul.3;uc010bon.3"	"uc002bul.3;uc010bon.3"	21	exons-14-21	start-65%-end-100%	yes	yes	2
IKBKAP	OTHER	-	6	"uc004bdk.3;uc004bdl.3;uc004bdm.4;uc010mtp.3;uc010mtq.3;uc011lwc.2"	0	n.a.	n.a.	n.a.	n.a.	n.a.	no	yes	1
IKBKB	OTHER	+	11	"uc003xov.3;uc003xow.2;uc003xox.2;uc010lxh.2;uc010lxi.2;uc010lxj.2;uc011lco.2;uc011lcp.2;uc011lcq.2;uc011lcr.2;uc022auj.1"	5	"uc003xov.3;uc003xow.2;uc010lxh.2;uc011lcq.2;uc011lcr.2"	uc003xow.2	22	exons-2-11	start-5%-end-48%	no	yes	1
IKBKE	OTHER	+	4	"uc001hdz.2;uc001hea.2;uc009xbu.2;uc009xbv.2"	4	"uc001hdz.2;uc001hea.2;uc009xbu.2;uc009xbv.2"	uc001hdz.2	22	exons-3-10	start-10%-end-43%	yes	yes	3
ILK	TKL	+	5	"uc001mee.3;uc001mef.3;uc001meh.3;uc010rap.2;uc010raq.2"	5	"uc001mee.3;uc001mef.3;uc001meh.3;uc010rap.2;uc010raq.2"	"uc001mee.3;uc001mef.3"	13	exons-6-13	start-42%-end-100%	yes	yes	3
INSR	RTK	-	3	"uc002mgd.1;uc002mge.1;uc002mgf.3"	2	"uc002mgd.1;uc002mge.1"	uc002mgd.1	22	exons-15-22	start-67%-end-100%	yes	yes	2
INSRR	RTK	-	3	"uc009wsj.2;uc010pht.2;uc031pqr.1"	1	uc010pht.2	uc010pht.2	22	exons-15-22	start-67%-end-100%	yes	yes	2
IRAK1	TKL	-	4	"uc004fjr.1;uc004fjs.1;uc004fjt.1;uc004fju.2"	4	"uc004fjr.1;uc004fjs.1;uc004fjt.1;uc004fju.2"	"uc004fjr.1;uc004fjs.1"	14	exons-4-13	start-23%-end-92%	yes	yes	2
IRAK2	TKL	+	1	uc003bve.1	1	uc003bve.1	uc003bve.1	13	exons-4-12	start-25%-end-92%	yes	yes	2
IRAK3	TKL	+	3	"uc001stg.2;uc001sth.3;uc010ssy.2"	2	"uc001sth.3;uc010ssy.2"	uc001sth.3	12	exons-3-12	start-18%-end-100%	no	yes	1
IRAK4	TKL	+	7	"uc001rnt.3;uc001rnu.3;uc001rnv.3;uc001rnw.3;uc001rnx.3;uc001rny.3;uc010sky.1"	7	"uc001rnt.3;uc001rnu.3;uc001rnv.3;uc001rnw.3;uc001rnx.3;uc001rny.3;uc010sky.1"	uc001rnv.3	14	exons-6-14	start-38%-end-100%	no	yes	1
ITK	NRTK	+	1	uc003lwo.1	1	uc003lwo.1	uc003lwo.1	17	exons-10-17	start-56%-end-100%	yes	yes	2
JAK1	NRTK	-	3	"uc001dbu.1;uc009wal.1;uc009wam.1"	3	"uc001dbu.1;uc009wal.1;uc009wam.1"	uc009wam.1	26	exons-12-26	start-44%-end-100%	yes	yes	3
JAK2	NRTK	+	2	"uc003ziw.3;uc010mhm.3"	2	"uc003ziw.3;uc010mhm.3"	uc003ziw.3	25	exons-12-25	start-46%-end-100%	yes	yes	2
JAK3	NRTK	-	5	"uc002nhn.4;uc002nho.2;uc010ebh.3;uc010xpx.1;uc010xpy.1"	2	"uc002nhn.4;uc002nho.2"	uc002nhn.4	24	exons-11-24	start-43%-end-100%	yes	yes	2
KALRN	CAMK	+	13	"uc003ehd.3;uc003ehe.3;uc003ehf.1;uc003ehg.3;uc003ehh.1;uc003ehi.3;uc003ehj.2;uc003ehk.3;uc010hru.2;uc010hrv.1;uc010hrw.2;uc011bjy.1;uc011bjz.2"	2	"uc003ehg.3;uc003ehk.3"	uc003ehg.3	60	exons-56-60	start-93%-end-100%	yes	yes	2
KDR	RTK	-	3	"uc003has.3;uc003hat.1;uc011bzx.2"	2	"uc003has.3;uc003hat.1"	uc003hat.1	31	exons-17-27	start-53%-end-87%	yes	yes	2
KIT	RTK	+	3	"uc010igr.3;uc010igs.3;uc010igt.2"	3	"uc010igr.3;uc010igs.3;uc010igt.2"	"uc010igr.3;uc010igs.3"	21	exons-11-21	start-50%-end-100%	yes	yes	3
KSR1	TKL	+	6	"uc002gzj.1;uc002gzl.1;uc002gzm.3;uc002gzn.3;uc031qzi.1;uc031qzj.1"	4	"uc002gzm.3;uc002gzn.3;uc031qzi.1;uc031qzj.1"	uc031qzi.1	21	exons-13-18	start-60%-end-85%	yes	yes	2
KSR2	TKL	-	1	uc001two.2	1	uc001two.2	uc001two.2	20	exons-14-20	start-68%-end-100%	yes	yes	2
LATS1	AGC	-	5	"uc003qmu.2;uc003qmv.2;uc003qmw.3;uc010kif.2;uc010kig.1"	3	"uc003qmu.2;uc003qmv.2;uc010kif.2"	uc010kif.2	9	exons-5-9	start-50%-end-100%	yes	yes	2
LATS2	AGC	-	2	"uc001unr.4;uc009zzs.3"	2	"uc001unr.4;uc009zzs.3"	"uc001unr.4;uc009zzs.3"	8	exons-4-8	start-43%-end-100%	yes	yes	2
LCK	NRTK	+	5	"uc001bux.3;uc001buy.3;uc001buz.3;uc001bva.3;uc010ohc.1"	5	"uc001bux.3;uc001buy.3;uc001buz.3;uc001bva.3;uc010ohc.1"	"uc001bux.3;uc001buy.3;uc001buz.3"	13	exons-7-13	start-50%-end-100%	yes	yes	2
LIMK1	TKL	+	4	"uc003uaa.2;uc003uab.3;uc003uac.1;uc010lbl.2"	3	"uc003uaa.2;uc003uab.3;uc003uac.1"	uc003uaa.2	16	exons-8-16	start-47%-end-100%	yes	yes	2
LIMK2	TKL	+	5	"uc003akh.3;uc003aki.3;uc003akj.3;uc003akk.3;uc011aln.2"	5	"uc003akh.3;uc003aki.3;uc003akj.3;uc003akk.3;uc011aln.2"	uc003akh.3	16	exons-8-16	start-47%-end-100%	no	yes	1
LMTK2	RTK	+	1	uc003upd.2	1	uc003upd.2	uc003upd.2	14	exons-3-11	start-15%-end-77%	yes	yes	2
LMTK3	RTK	-	1	uc002pjk.3	1	uc002pjk.3	uc002pjk.3	16	exons-4-12	start-20%-end-73%	yes	yes	2
LRRK1	TKL	+	5	"uc002bwq.1;uc002bwr.3;uc002bws.3;uc010usb.2;uc010usc.2"	1	uc002bwr.3	uc002bwr.3	34	exons-24-32	start-70%-end-94%	yes	yes	2
LRRK2	TKL	+	4	"uc001rmg.4;uc001rmh.1;uc001rmi.3;uc009zjw.3"	3	"uc001rmg.4;uc001rmi.3;uc009zjw.3"	uc001rmg.4	51	exons-38-45	start-74%-end-88%	yes	yes	2
LTK	RTK	-	4	"uc001zoa.3;uc001zob.3;uc010bcg.2;uc010ucx.1"	4	"uc001zoa.3;uc001zob.3;uc010bcg.2;uc010ucx.1"	uc001zoa.3	20	exons-11-20	start-53%-end-100%	yes	yes	2
LYN	NRTK	+	2	"uc003xsk.4;uc003xsl.4"	2	"uc003xsk.4;uc003xsl.4"	"uc003xsk.4;uc003xsl.4"	13	exons-7-13	start-50%-end-100%	yes	yes	2
